iter	Passed	Remaining
964	6361	6823
965	6368	6816
966	6372	6807
967	6377	6799
968	6383	6791
969	6388	6783
970	6394	6776
971	6399	6767
972	6403	6759
973	6408	6751
974	6414	6743
975	6420	6736
976	6426	6729
977	6432	6721
978	6438	6714
979	6442	6705
980	6448	6698
981	6455	6691
982	6461	6685
983	6470	6680
984	6475	6673
985	6480	6664
986	6487	6658
987	6495	6652
988	6501	6645
989	6509	6640
990	6517	6636
991	6522	6628
992	6528	6620
993	6535	6614
994	6538	6604
995	6543	6595
996	6550	6589
997	6558	6584
998	6564	6577
999	6571	6571
1000	6575	6562
1001	6578	6552
1002	6582	6543
1003	6587	6535
1004	6594	6528
1005	6599	6520
1006	6605	6513
1007	6611	6506
1008	6616	6498
1009	6621	6490
1010	6624	6480
1011	6628	6471
1012	6631	6461
1013	6634	6451
1014	6638	6441
1015	6641	6432
1016	6645	6423
1017	6649	6414
1018	6653	6405
1019	6656	6395
1020	6660	6386
1021	6663	6376
1022	6666	6366
1023	6670	6357
1024	6673	6347
1025	6676	6338
1026	6679	6328
1027	6682	6318
1028	6685	6309
1029	6688	6299
1030	6691	6289
1031	6693	6278
1032	6697	6269
1033	6699	6259
1034	6702	6249
1035	6705	6239
1036	6707	6229
1037	6710	6219
1038	6713	6209
1039	6716	6199
1040	6719	6189
1041	6721	6180
1042	6724	6170
1043	6727	6160
1044	6730	6151
1045	6733	6141
1046	6736	6131
1047	6739	6121
1048	6741	6111
1049	6744	6101
1050	6747	6092
1051	6750	6082
1052	6753	6073
1053	6757	6064
1054	6761	6056
1055	6764	6047
1056	6768	6038
1057	6771	6028
1058	6773	6019
1059	6777	6010
1060	6780	6000
1061	6782	5990
1062	6785	5981
1063	6787	5971
1064	6790	5961
1065	6792	5951
1066	6795	5941
1067	6797	5932
1068	6800	5922
1069	6803	5913
1070	6805	5903
1071	6808	5894
1072	6811	5884
1073	6814	5875
1074	6817	5866
1075	6820	5856
1076	6822	5847
1077	6825	5838
1078	6829	5829
1079	6831	5819
1080	6834	5810
1081	6837	5800
1082	6839	5791
1083	6842	5782
1084	6845	5773
1085	6848	5763
1086	6851	5754
1087	6854	5745
1088	6857	5736
1089	6859	5726
1090	6862	5717
1091	6865	5708
1092	6868	5699
1093	6870	5690
1094	6873	5680
1095	6876	5671
1096	6879	5662
1097	6882	5653
1098	6884	5644
1099	6887	5634
1100	6890	5626
1101	6893	5617
1102	6896	5608
1103	6899	5599
1104	6902	5590
1105	6905	5581
1106	6907	5572
1107	6910	5563
1108	6913	5554
1109	6916	5545
1110	6918	5536
1111	6921	5527
1112	6924	5518
1113	6927	5509
1114	6929	5500
1115	6932	5491
1116	6935	5482
1117	6938	5473
1118	6940	5464
1119	6943	5455
1120	6945	5446
1121	6948	5437
1122	6951	5428
